country,hdi,life_expectancy,expec_yr_school,mean_yr_school,gross_inc_percap,HDI_Category
Afghanistan,0.284,45.967,2.936460018,0.871961963,3115.670448,Low
Afghanistan,0.292,46.663,3.228456167,0.915267456,2817.304736,Low
Afghanistan,0.299,47.596,3.520452316,0.95857295,2474.681985,Low
Afghanistan,0.307,51.466,3.812448465,1.001878443,1723.019763,Low
Afghanistan,0.3,51.495,4.104444614,1.045183937,1202.010488,Low
Afghanistan,0.318,52.544,4.396440763,1.08848943,1477.061709,Low
Afghanistan,0.326,53.243,4.688436912,1.123601992,1468.355839,Low
Afghanistan,0.33,53.634,4.980433061,1.158714555,1338.724144,Low
Afghanistan,0.329,52.943,5.272429209,1.193827117,1227.293565,Low
Afghanistan,0.337,54.846,5.564425358,1.228939679,1122.32257,Low
Afghanistan,0.34,55.298,5.856421507,1.264052241,1047.342686,Low
Afghanistan,0.344,55.798,6.148417656,1.315550666,981.1335542,Low
Afghanistan,0.368,56.454,6.440413805,1.367049091,1364.239872,Low
Afghanistan,0.379,57.344,6.732409954,1.418547515,1465.417987,Low
Afghanistan,0.395,57.944,7.600430012,1.47004594,1453.663264,Low
Afghanistan,0.402,58.361,7.858029938,1.521544365,1508.275616,Low
Afghanistan,0.41,58.684,8.115629864,1.595280745,1577.870182,Low
Afghanistan,0.426,59.111,8.37322979,1.669017126,1894.877589,Low
Afghanistan,0.431,59.852,8.630829716,1.742753507,1838.976743,Low
Afghanistan,0.441,60.364,8.888429642,1.816489888,1953.65815,Low
Afghanistan,0.449,60.851,9.180809975,1.890226268,2006.788911,Low
Afghanistan,0.457,61.419,9.473190308,1.937043018,2059.012272,Low
Afghanistan,0.467,61.923,9.803686778,1.983859768,2174.350605,Low
Afghanistan,0.475,62.417,10.13418325,2.030676517,2244.209474,Low
Afghanistan,0.48,62.545,10.46467972,2.077493267,2222.094339,Low
Afghanistan,0.479,62.659,10.48297477,2.124310017,2142.689163,Low
Afghanistan,0.483,63.136,10.50126982,2.267770012,2122.363226,Low
Afghanistan,0.485,63.016,10.51956487,2.411230008,2123.676477,Low
Afghanistan,0.486,63.081,10.53785992,2.554690003,2082.113799,Low
Afghanistan,0.492,63.565,10.62129205,2.698149999,2112.986381,Low
Afghanistan,0.488,62.575,10.70538475,2.841609995,1986.803772,Low
Afghanistan,0.473,61.982,10.70538475,2.98506999,1534.135377,Low
Afghanistan,0.462,62.879,10.70538475,2.514790058,1335.205733,Low
Albania,0.649,73.144,11.57933998,7.354632085,4964.172443,Medium
Albania,0.632,73.378,11.78129959,7.352753507,3501.732374,Medium
Albania,0.616,73.715,10.65800953,7.350874929,3177.137422,Medium
Albania,0.618,73.939,10.07353973,7.348996351,3595.914885,Medium
Albania,0.623,74.131,9.992659569,7.347117774,3950.845018,Medium
Albania,0.632,74.362,10.05914021,7.345239196,4559.593062,Medium
Albania,0.644,74.592,10.16149998,7.627025866,5016.104303,Medium
